Date,Open,High,Low,Close,Volume
10-Sep-12,21.38,21.43,20.98,20.98,58060
7-Sep-12,21.00,21.50,20.93,21.19,249084
6-Sep-12,20.35,21.00,20.35,20.92,120078
5-Sep-12,20.10,20.38,19.95,20.33,38493
4-Sep-12,20.40,20.40,20.05,20.12,64586
3-Sep-12,20.00,20.45,19.98,20.40,83127
31-Aug-12,19.72,20.00,19.68,19.83,88874
30-Aug-12,19.90,19.92,19.62,19.78,81389
29-Aug-12,19.91,20.02,19.70,19.96,96335
28-Aug-12,19.88,19.89,19.65,19.70,57524
27-Aug-12,19.75,20.02,19.74,20.02,63282
24-Aug-12,19.92,19.92,19.66,19.84,57042
23-Aug-12,19.77,19.95,19.70,19.91,68935
22-Aug-12,19.89,19.94,19.62,19.74,66798
21-Aug-12,20.08,20.28,19.92,19.94,74793
20-Aug-12,20.50,20.54,19.70,20.11,111866
17-Aug-12,20.38,20.55,20.28,20.55,195805
16-Aug-12,20.39,20.40,20.19,20.40,89278
15-Aug-12,19.95,20.40,19.86,20.36,220684
14-Aug-12,19.85,20.00,19.65,20.00,77893
13-Aug-12,19.90,19.97,19.70,19.80,61584
10-Aug-12,20.00,20.00,19.80,19.97,106596
9-Aug-12,19.98,20.00,19.71,19.98,111511
8-Aug-12,19.48,20.00,19.22,20.00,161702
7-Aug-12,19.80,20.40,19.55,19.65,603634
6-Aug-12,18.74,19.10,18.70,19.10,86539
3-Aug-12,18.00,18.70,17.92,18.68,54294
2-Aug-12,18.16,18.51,17.87,17.96,63645
1-Aug-12,18.64,18.70,18.28,18.43,55239
31-Jul-12,18.94,18.94,18.20,18.50,73894
30-Jul-12,18.90,19.04,18.61,18.83,53515
27-Jul-12,18.70,18.86,18.44,18.76,53179
26-Jul-12,18.09,18.62,17.86,18.56,80603
25-Jul-12,18.15,18.25,18.01,18.04,59985
24-Jul-12,18.17,18.30,18.00,18.18,68119
23-Jul-12,18.70,18.80,18.06,18.30,97133
20-Jul-12,18.88,19.09,18.66,18.96,131248
19-Jul-12,19.00,19.05,18.82,19.05,97354
18-Jul-12,19.03,19.06,18.83,19.05,99996
17-Jul-12,19.13,19.32,18.72,19.06,79562
16-Jul-12,18.98,19.24,18.80,19.12,47272
13-Jul-12,18.76,19.05,18.60,19.01,98173
12-Jul-12,0.00,19.05,18.75,18.75,77395
11-Jul-12,18.85,19.13,18.80,19.00,98686
10-Jul-12,18.50,19.15,18.46,19.00,221280
9-Jul-12,18.49,18.85,18.28,18.54,83979
6-Jul-12,18.46,18.86,18.24,18.42,109144
5-Jul-12,18.85,19.02,18.50,18.60,113157
4-Jul-12,18.64,18.98,18.28,18.90,110340
3-Jul-12,18.06,18.90,18.06,18.80,183413
2-Jul-12,17.78,18.45,17.58,17.98,217886
29-Jun-12,17.14,17.87,16.86,17.74,173764
28-Jun-12,17.08,17.53,16.60,16.70,147472
27-Jun-12,16.95,17.16,16.82,17.04,101845
26-Jun-12,17.20,17.40,16.82,16.83,85140
25-Jun-12,17.65,17.70,17.10,17.27,148404
22-Jun-12,17.52,17.61,17.32,17.50,54267
21-Jun-12,17.45,18.22,17.40,17.68,143166
20-Jun-12,17.52,17.72,17.18,17.59,81930
19-Jun-12,17.03,17.47,17.03,17.40,41882
18-Jun-12,16.76,17.36,16.76,17.05,102414
15-Jun-12,16.41,16.78,16.40,16.52,110534
14-Jun-12,16.68,16.93,16.38,16.44,88138
13-Jun-12,17.10,17.34,16.46,16.60,106831
12-Jun-12,16.90,17.17,16.76,16.95,73391
11-Jun-12,17.34,17.56,17.00,17.00,88807
8-Jun-12,17.21,17.27,16.60,17.11,51868
7-Jun-12,16.76,17.47,16.75,17.35,112500
6-Jun-12,16.32,16.87,16.30,16.82,106453
5-Jun-12,16.40,16.40,15.96,16.28,82729
4-Jun-12,16.40,16.50,16.07,16.28,90783
1-Jun-12,17.63,17.64,16.50,16.73,115538
31-May-12,17.72,18.00,17.52,17.70,88687
30-May-12,17.84,18.02,17.64,17.80,58704
29-May-12,17.41,18.20,17.30,18.00,122816
28-May-12,17.23,17.41,17.10,17.30,17783
25-May-12,17.52,17.54,16.86,17.08,96037
24-May-12,17.62,17.80,17.25,17.40,57005
23-May-12,17.71,17.71,17.30,17.51,77458
22-May-12,17.05,18.15,17.05,17.86,195710
21-May-12,16.93,17.22,16.92,17.00,58618
18-May-12,17.30,17.37,16.93,17.03,135735
