Date,Open,High,Low,Close,Volume
17-Aug-12,60.30,61.64,60.13,61.46,2658919
16-Aug-12,59.38,60.10,59.02,59.95,2077253
15-Aug-12,58.95,59.52,58.66,58.98,1619493
14-Aug-12,59.40,59.67,58.83,59.13,1631873
13-Aug-12,59.72,59.80,58.62,59.08,1535835
10-Aug-12,59.81,60.20,59.24,59.90,1407699
9-Aug-12,60.23,60.42,59.04,60.17,2109837
8-Aug-12,60.20,60.60,59.72,60.22,1846688
7-Aug-12,59.40,60.69,59.29,60.51,2820883
6-Aug-12,57.93,60.05,57.84,59.50,2897938
3-Aug-12,56.51,58.54,56.35,58.12,3501478
2-Aug-12,58.44,59.65,56.21,56.46,4950842
1-Aug-12,59.30,59.75,57.72,58.99,4126187
31-Jul-12,60.69,61.43,59.53,60.77,2467810
30-Jul-12,59.50,60.74,59.42,60.43,2410460
27-Jul-12,57.50,59.38,56.91,59.15,2987322
26-Jul-12,55.98,57.50,54.76,57.50,3702441
25-Jul-12,55.10,56.80,55.01,55.89,3258039
24-Jul-12,56.44,56.60,55.07,55.18,2775280
23-Jul-12,57.50,57.82,56.03,56.64,2386687
20-Jul-12,59.81,60.62,58.16,58.28,3809096
19-Jul-12,59.02,60.19,58.85,59.66,2609882
18-Jul-12,57.85,59.01,57.43,58.84,1790450
17-Jul-12,57.57,58.24,57.40,57.62,2058816
16-Jul-12,57.66,57.70,56.78,57.50,1562187
13-Jul-12,55.86,58.03,55.67,57.77,2532760
12-Jul-12,56.16,56.82,55.39,55.84,2796670
11-Jul-12,57.01,57.10,56.09,56.69,1924342
10-Jul-12,56.67,57.74,56.01,57.25,1856226
9-Jul-12,56.46,56.66,55.85,56.39,1858782
6-Jul-12,58.00,58.17,56.41,56.42,3377305
5-Jul-12,59.10,60.14,58.08,59.11,3009595
4-Jul-12,58.98,59.57,58.60,58.95,1896566
3-Jul-12,57.70,59.00,57.55,58.94,2547190
2-Jul-12,56.90,58.13,56.20,57.41,2176732
29-Jun-12,56.40,57.05,55.37,56.93,3464824
28-Jun-12,54.60,55.05,53.76,54.16,2183552
27-Jun-12,54.00,54.55,53.44,54.52,2202471
26-Jun-12,54.28,54.48,53.16,53.70,3837315
25-Jun-12,56.26,56.32,54.94,54.94,2306851
22-Jun-12,57.00,57.18,56.30,56.47,1903736
21-Jun-12,57.75,58.43,57.19,57.58,2398303
20-Jun-12,57.87,58.25,56.84,58.07,1943565
19-Jun-12,57.20,58.30,56.94,57.93,2270671
18-Jun-12,57.19,57.64,56.65,57.14,3252808
15-Jun-12,56.46,56.78,55.89,55.96,5844449
14-Jun-12,57.47,57.66,55.84,56.29,3672086
13-Jun-12,58.88,59.61,56.78,57.81,2981678
12-Jun-12,58.29,59.67,57.73,58.58,2377663
11-Jun-12,60.70,60.95,58.68,58.77,2505321
8-Jun-12,58.90,59.02,58.08,58.82,2083147
7-Jun-12,59.10,61.05,58.16,59.58,3114859
6-Jun-12,58.02,58.91,57.51,58.51,3325975
5-Jun-12,57.53,57.58,56.10,57.20,2346209
4-Jun-12,57.90,58.04,56.81,56.85,2609948
1-Jun-12,61.07,61.10,57.84,58.72,4219292
31-May-12,62.10,62.88,60.60,61.10,3012985
30-May-12,63.61,63.74,61.66,62.01,2858769
29-May-12,63.13,64.79,62.98,64.00,2426478
28-May-12,62.44,63.42,62.02,62.28,1201981
25-May-12,62.01,62.62,61.40,61.90,1634898
24-May-12,62.44,62.58,61.25,61.98,2459775
23-May-12,62.71,62.83,61.53,61.81,2670776
22-May-12,62.77,63.76,62.48,63.43,2880567
21-May-12,61.48,62.66,61.39,61.77,2362798
18-May-12,61.81,62.24,61.02,61.31,4288518
