Date,Open,High,Low,Close,Volume
20-Nov-12,78.00,78.88,77.70,78.40,7581
19-Nov-12,77.10,78.20,76.91,78.05,7686
16-Nov-12,77.10,77.50,76.50,77.05,17198
15-Nov-12,77.70,77.70,76.90,76.90,11781
14-Nov-12,79.42,79.42,77.90,78.05,7614
13-Nov-12,78.80,79.90,78.80,79.35,9366
12-Nov-12,79.50,80.59,79.00,79.29,10891
9-Nov-12,80.30,80.59,78.84,79.50,8955
8-Nov-12,79.75,82.50,79.48,80.05,43756
7-Nov-12,80.11,80.87,78.83,78.85,13164
6-Nov-12,79.42,80.40,79.40,80.29,21189
5-Nov-12,79.12,79.56,78.80,79.45,9104
2-Nov-12,78.55,80.20,78.50,79.25,23207
1-Nov-12,77.75,78.79,77.41,78.40,7102
31-Oct-12,77.22,78.25,77.22,77.75,8347
30-Oct-12,76.80,77.55,76.80,77.31,6629
29-Oct-12,77.00,77.21,76.82,76.95,6336
26-Oct-12,76.15,77.54,76.15,77.20,4426
25-Oct-12,76.75,77.28,76.21,76.65,5302
24-Oct-12,77.10,77.21,76.14,76.70,6494
23-Oct-12,78.08,78.08,76.64,77.10,12899
22-Oct-12,78.00,78.53,77.65,77.65,8698
19-Oct-12,78.80,78.92,77.82,78.00,13774
18-Oct-12,78.10,79.28,78.10,78.81,9929
17-Oct-12,77.60,78.24,77.50,78.05,10694
16-Oct-12,76.63,77.69,76.58,77.55,13277
15-Oct-12,76.15,76.75,75.95,76.50,9348
12-Oct-12,76.70,76.75,75.87,76.32,19149
11-Oct-12,77.10,77.51,76.75,76.75,32243
10-Oct-12,78.21,78.87,77.75,77.80,7066
9-Oct-12,79.15,79.15,78.15,78.30,8539
8-Oct-12,79.67,79.96,78.65,78.75,11532
5-Oct-12,79.31,80.48,79.31,80.00,15930
4-Oct-12,79.40,79.90,79.00,79.20,17778
3-Oct-12,78.56,79.35,78.56,79.00,1451
2-Oct-12,78.20,79.45,78.00,78.45,15352
